time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,core,port
1.000,8871698,8963916.62,8937558.51,0,0.00,0.00,1,0
1.500,0,0.00,0.00,1558082,645161.28,1038883.36,2,0
2.000,17784336,9030749.55,8925884.01,0,0.00,0.00,1,0
2.500,0,0.00,0.00,2612169,1734449.74,1044964.71,2,0
3.000,26684692,8826700.01,8916922.61,0,0.00,0.00,1,0
3.500,0,0.00,0.00,3668130,387596.90,1048106.46,2,0
4.000,35576860,8874918.71,8910946.91,0,0.00,0.00,1,0
4.500,0,0.00,0.00,4723770,114810.56,1049780.10,2,0
5.000,44471075,8913564.12,8907368.96,0,0.00,0.00,1,0
5.500,0,0.00,0.00,5770380,1234567.87,1049204.36,2,0
6.000,53361196,8926391.07,8904517.19,0,0.00,0.00,1,0
6.500,0,0.00,0.00,6824788,1242236.05,1050004.93,2,0
7.000,62249270,8872995.23,8902383.00,0,0.00,0.00,1,0
7.500,0,0.00,0.00,7879535,1863354.01,1050637.25,2,0
8.000,71139391,8883391.92,8900701.48,0,0.00,0.00,1,0
8.500,0,0.00,0.00,8935265,641025.62,1051236.54,2,0
9.000,80025418,8906195.61,8899169.17,0,0.00,0.00,1,0
9.500,0,0.00,0.00,9991225,636942.65,1051733.79,2,0
10.000,88909398,8900000.00,8897601.22,0,0.00,0.00,1,0
10.500,0,0.00,0.00,11046818,215982.72,1052101.17,2,0
11.000,97789284,8871841.55,8896041.01,0,0.00,0.00,1,0
11.500,0,0.00,0.00,12102622,1258134.51,1052423.19,2,0
12.000,106669170,8905808.14,8894631.75,0,0.00,0.00,1,0
12.500,0,0.00,0.00,13158578,386100.39,1052705.81,2,0
13.000,115547009,8890722.72,8893314.24,0,0.00,0.00,1,0
13.500,0,0.00,0.00,14215304,1265822.78,1053003.69,2,0
14.000,124422801,8895358.94,8892090.70,0,0.00,0.00,1,0
14.500,0,0.00,0.00,15271866,114942.53,1053248.55,2,0
15.000,133298593,8881850.13,8891055.73,0,0.00,0.00,1,0
15.500,0,0.00,0.00,16321185,653594.76,1052995.55,2,0
16.000,142176432,8866077.62,8890142.79,0,0.00,0.00,1,0
16.500,0,0.00,0.00,17375689,1851851.94,1053086.99,2,0
17.000,151052224,8947851.55,8889349.59,0,0.00,0.00,1,0
17.500,0,0.00,0.00,18430898,276243.09,1053208.16,2,0
18.000,159928016,8875688.33,8888591.24,0,0.00,0.00,1,0
18.500,0,0.00,0.00,19486509,632911.39,1053338.05,2,0
19.000,168803808,8908908.91,8887954.10,0,0.00,0.00,1,0
19.500,0,0.00,0.00,20541757,186393.29,1053435.98,2,0
20.000,177679600,8913952.27,8887309.43,0,0.00,0.00,1,0
20.500,0,0.00,0.00,21597244,103092.78,1053535.98,2,0
21.000,186555392,8931454.25,8886708.55,0,0.00,0.00,1,0
21.500,0,0.00,0.00,22653083,1127965.76,1053643.19,2,0
