time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,core,port
1.000,16058715,16180539.09,16095447.39,0,0.00,0.00,1,0
1.500,0,0.00,0.00,712512,0.00,475064.93,2,0
2.000,32154276,16113035.26,16095963.28,0,0.00,0.00,1,0
2.500,0,0.00,0.00,1193472,0.00,477426.42,2,0
3.000,48255978,16239587.46,16097335.52,0,0.00,0.00,1,0
3.500,0,0.00,0.00,1674432,0.00,478434.00,2,0
4.000,64353586,16189496.99,16097744.70,0,0.00,0.00,1,0
4.500,0,0.00,0.00,2155398,5128204.05,479003.55,2,0
5.000,80451194,16052383.94,16097470.17,0,0.00,0.00,1,0
5.500,0,0.00,0.00,2635969,0.00,479283.93,2,0
6.000,96550849,16009698.10,16097853.15,0,0.00,0.00,1,0
6.500,0,0.00,0.00,3115521,0.00,479322.96,2,0
7.000,112650504,16172868.77,16098218.58,0,0.00,0.00,1,0
7.500,0,0.00,0.00,3596487,314465.41,479547.37,2,0
8.000,128748112,16183097.48,16098220.09,0,0.00,0.00,1,0
8.500,0,0.00,0.00,4077313,0.00,479697.67,2,0
9.000,144847767,16104161.75,16098210.69,0,0.00,0.00,1,0
9.500,0,0.00,0.00,4558017,0.00,479800.93,2,0
10.000,160945375,16015961.21,16098322.12,0,0.00,0.00,1,0
10.500,0,0.00,0.00,5038785,0.00,479892.56,2,0
11.000,177047077,16054901.97,16098506.66,0,0.00,0.00,1,0
11.500,0,0.00,0.00,5519681,0.00,479982.06,2,0
12.000,193144685,16020975.18,16098506.89,0,0.00,0.00,1,0
12.500,0,0.00,0.00,6000641,0.00,480057.66,2,0
13.000,209240246,16186936.60,16098239.86,0,0.00,0.00,1,0
13.500,0,0.00,0.00,6481347,118976.80,480108.29,2,0
14.000,225335807,16208725.97,16098059.88,0,0.00,0.00,1,0
14.500,0,0.00,0.00,6961729,0.00,480125.77,2,0
15.000,241435462,15983446.57,16098133.57,0,0.00,0.00,1,0
15.500,0,0.00,0.00,7442689,0.00,480179.03,2,0
16.000,257533070,16032268.16,16098144.85,0,0.00,0.00,1,0
16.500,0,0.00,0.00,7921410,52966.10,480092.23,2,0
17.000,273634772,16242164.56,16098284.84,0,0.00,0.00,1,0
17.500,0,0.00,0.00,8401793,0.00,480107.52,2,0
18.000,289728286,16047350.27,16098059.37,0,0.00,0.00,1,0
18.500,0,0.00,0.00,8882565,222469.41,480144.64,2,0
19.000,305825894,15978456.00,16098053.25,0,0.00,0.00,1,0
19.500,0,0.00,0.00,9363457,0.00,480181.97,2,0
20.000,321923502,16154999.62,16097997.06,0,0.00,0.00,1,0
20.500,0,0.00,0.00,9844418,0.00,480218.96,2,0
21.000,338021110,16185656.69,16098027.75,0,0.00,0.00,1,0
21.500,0,0.00,0.00,10325250,0.00,480248.75,2,0
22.000,354120765,16027247.09,16098107.90,0,0.00,0.00,1,0
22.500,0,0.00,0.00,10806146,0.00,480277.05,2,0
23.000,370218373,16046092.35,16098068.39,0,0.00,0.00,1,0
23.500,0,0.00,0.00,11286978,0.00,480301.97,2,0
24.000,386318028,16186936.60,16098160.74,0,0.00,0.00,1,0
24.500,0,0.00,0.00,11767875,59241.71,480325.95,2,0
25.000,402419730,16028502.07,16098230.51,0,0.00,0.00,1,0
25.500,0,0.00,0.00,12249026,0.00,480358.49,2,0
26.000,418519385,16077599.74,16098283.09,0,0.00,0.00,1,0
26.500,0,0.00,0.00,12728707,63492.06,480332.81,2,0
27.000,434614946,16053642.84,16098184.50,0,0.00,0.00,1,0
27.500,0,0.00,0.00,13209319,12345681.35,480343.18,2,0
28.000,450712554,16154999.59,16098220.89,0,0.00,0.00,1,0
28.500,0,0.00,0.00,13690114,0.00,480358.85,2,0
29.000,466812209,16190777.52,16098240.16,0,0.00,0.00,1,0
29.500,0,0.00,0.00,14171010,0.00,480376.22,2,0
30.000,482911864,16077599.74,16098264.41,0,0.00,0.00,1,0
30.500,0,0.00,0.00,14651842,0.00,480390.95,2,0
31.000,499011519,16033523.93,16098345.30,0,0.00,0.00,1,0
31.500,0,0.00,0.00,15132696,1295336.75,480406.76,2,0
32.000,515107080,16114303.72,16098264.66,0,0.00,0.00,1,0
32.500,0,0.00,0.00,15613506,0.00,480418.93,2,0
33.000,531208782,16046092.35,16098324.01,0,0.00,0.00,1,0
33.500,0,0.00,0.00,16094338,0.00,480431.43,2,0
34.000,547306390,16015961.21,16098359.72,0,0.00,0.00,1,0
34.500,0,0.00,0.00,16575234,0.00,480444.84,2,0
35.000,563399904,16189496.99,16098197.28,0,0.00,0.00,1,0
35.500,0,0.00,0.00,17056130,0.00,480456.58,2,0
36.000,579497512,16133354.36,16098171.68,0,0.00,0.00,1,0
36.500,0,0.00,0.00,17536322,0.00,480449.50,2,0
37.000,595597167,16192058.22,16098238.20,0,0.00,0.00,1,0
37.500,0,0.00,0.00,18016322,0.00,480438.16,2,0
38.000,611694775,15964748.08,16098209.22,0,0.00,0.00,1,0
38.500,0,0.00,0.00,18496706,0.00,480436.68,2,0
39.000,627794430,16005985.76,16098231.95,0,0.00,0.00,1,0
39.500,0,0.00,0.00,18977090,0.00,480434.72,2,0
40.000,643887944,16296473.22,16098115.01,0,0.00,0.00,1,0
40.500,0,0.00,0.00,19457154,0.00,480425.57,2,0
41.000,659983505,16081388.97,16098073.62,0,0.00,0.00,1,0
41.500,0,0.00,0.00,19937666,0.00,480427.59,2,0
42.000,676085207,16099095.55,16098136.80,0,0.00,0.00,1,0
42.500,0,0.00,0.00,20417602,0.00,480416.07,2,0
43.000,692180768,16243453.40,16098096.31,0,0.00,0.00,1,0
43.500,0,0.00,0.00,20897538,0.00,480405.72,2,0
44.000,708280423,16036036.04,16098112.00,0,0.00,0.00,1,0
44.500,0,0.00,0.00,21378306,0.00,480413.65,2,0
45.000,724382125,16044834.61,16098183.65,0,0.00,0.00,1,0
45.500,0,0.00,0.00,21859138,0.00,480422.44,2,0
46.000,740477686,16154999.62,16098160.06,0,0.00,0.00,1,0
46.500,0,0.00,0.00,22340290,0.00,480437.91,2,0
47.000,756577341,16038548.94,16098176.39,0,0.00,0.00,1,0
47.500,0,0.00,0.00,22819202,0.00,480406.49,2,0
48.000,772674949,16229287.26,16098152.67,0,0.00,0.00,1,0
48.500,0,0.00,0.00,23299266,0.00,480399.43,2,0
49.000,788772557,15987191.48,16098169.63,0,0.00,0.00,1,0
49.500,0,0.00,0.00,23779714,0.00,480399.78,2,0
50.000,804872212,16161376.92,16098162.14,0,0.00,0.00,1,0
50.500,0,0.00,0.00,24260546,0.00,480409.03,2,0
51.000,820973914,16190777.49,16098232.95,0,0.00,0.00,1,0
51.500,0,0.00,0.00,24741634,0.00,480421.46,2,0
52.000,837065381,16183097.48,16098122.63,0,0.00,0.00,1,0
52.500,0,0.00,0.00,25222787,0.00,480435.57,2,0
53.000,853165036,16020975.18,16098158.14,0,0.00,0.00,1,0
53.500,0,0.00,0.00,25703939,0.00,480449.08,2,0
54.000,869262644,16088972.74,16098143.91,0,0.00,0.00,1,0
54.500,0,0.00,0.00,26185094,142112.74,480462.47,2,0
55.000,885362299,16056161.26,16098163.40,0,0.00,0.00,1,0
55.500,0,0.00,0.00,26666371,0.00,480476.77,2,0
56.000,901459907,16086444.02,16098151.73,0,0.00,0.00,1,0
56.500,0,0.00,0.00,27147587,0.00,480489.73,2,0
57.000,917559562,16160101.07,16098193.06,0,0.00,0.00,1,0
57.500,0,0.00,0.00,27627011,0.00,480471.76,2,0
58.000,933653076,16233148.30,16098111.88,0,0.00,0.00,1,0
58.500,0,0.00,0.00,28107992,2824858.87,480480.51,2,0
59.000,949754778,16189496.99,16098157.47,0,0.00,0.00,1,0
59.500,0,0.00,0.00,28588995,0.00,480488.57,2,0
60.000,965852386,15963503.06,16098160.16,0,0.00,0.00,1,0
