combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate
4,for_0_a_0,64,xdpdrv,0.0.0.255,60,749884638,12864321.54,12603119.63
2,for_0_a_0,64,xdpdrv,0.0.0.255,60,748565248,13048369.02,12580946.43
2,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71346995,636942.68,1199110.7
1,for_0_a_0,64,xdpgeneric,0.0.0.255,60,66480838,2185792.35,1117327.89
4,for_0_a_0,512,xdpgeneric,0.0.0.255,60,140019371,2318145.47,2353269.61
4,for_0_a_0,512,xdpdrv,0.0.0.255,60,140045503,1840490.88,2353708.82
8,for_0_a_0,256,xdpdrv,0.0.0.255,60,269954563,273224.04,4537057.16
4,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,49006331,649350.66,823637.01
1,for_0_a_0,256,xdpdrv,0.0.0.255,60,269895702,2405498.35,4536067.47
8,for_0_a_0,128,xdpgeneric,0.0.0.255,60,281970767,9230769.58,4739010.82
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71335215,1063829.81,1198912.62
2,for_0_a_0,1500,xdpdrv,0.0.0.255,60,49006109,657894.76,823633.11
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,49006504,609756.12,823639.78
1,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71356475,1257861.63,1199272.71
4,for_0_a_0,128,xdpgeneric,0.0.0.255,60,159582323,636942.68,2682059.07
4,for_0_a_0,128,xdpdrv,0.0.0.255,60,503432056,13026819.8,8461052.89
8,for_0_a_0,64,xdpdrv,0.0.0.255,60,747891531,12573673.87,12569620.88
4,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71347614,1140684.39,1199121.25
2,for_0_a_0,128,xdpgeneric,0.0.0.255,60,93406031,757575.76,1569851.14
8,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71356732,628930.81,1199278.15
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,64827847,763358.77,1089548.33
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,62692892,526315.8,1053666.19
1,for_0_a_0,512,xdpdrv,0.0.0.255,60,140027537,1840490.88,2353406.7
1,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,48996161,657894.76,823465.85
4,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71356669,1274165.19,1199275.68
4,for_0_a_0,256,xdpgeneric,0.0.0.255,60,159131627,653594.76,2674484.13
8,for_0_a_0,128,xdpdrv,0.0.0.255,60,503407349,10256410.09,8460657.67
1,for_0_a_0,64,xdpdrv,0.0.0.255,60,450113763,10112359.28,7564946.64
4,for_0_a_0,1500,xdpdrv,0.0.0.255,60,49005938,636942.68,823636.02
2,for_0_a_0,256,xdpgeneric,0.0.0.255,60,91430265,417536.54,1536644.95
2,for_0_a_0,256,xdpdrv,0.0.0.255,60,269955280,9876543.69,4537069.22
2,for_0_a_0,128,xdpdrv,0.0.0.255,60,503440535,15447155.07,8461195.14
8,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71356434,595238.11,1199269.18
