combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,04,1,0,66,972.899,1.046.825,213.342,8.088,279.662,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,18,1,0,65,924.141,1.031.969,209.863,8.018,275.687,27.904,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,16,1,0,64,906.323,1.005.301,204.200,7.623,268.207,25.748,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,18,1,0,63,918.821,1.002.307,204.208,7.113,267.681,19.504,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,23,1,0,64,963.201,1.023.114,208.382,7.848,272.805,20.086,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,64,xdpdrv,0.0.0.255,60,1,19,1,0,64,933.107,1.035.037,210.770,7.800,276.309,24.386,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1.006.352,1.022.066,208.315,8.042,272.793,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,63,968.690,1.018.087,207.071,7.937,271.559,18.801,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,63,974.368,1.005.699,204.617,7.666,268.343,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,17,1,0,64,914.739,1.015.727,206.847,8.021,271.255,23.003,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,70,1,0,64,1.731.649,1.020.288,207.417,8.018,272.567,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,26,1,0,64,994.525,1.029.270,209.412,7.870,274.755,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,04,1,0,65,1.752.481,2.606.624,504.875,8.793,791.421,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,64,xdpdrv,0.0.0.255,60,0,56,1,0,62,1.372.342,1.007.548,205.006,7.787,269.125,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,1024,xdpdrv,0.0.0.255,60,1,09,1,0,64,1.299.449,1.595.531,310.200,8.456,455.251,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,23,1,0,64,960.560,1.003.674,204.707,7.723,267.818,20.972,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,128,xdpdrv,0.0.0.255,60,1,19,1,0,63,929.380,1.009.424,205.302,8.146,269.466,19.827,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,64,xdpdrv,0.0.0.255,60,0,97,1,0,63,1.461.874,1.670.320,321.692,8.411,475.800,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,63,980.157,1.005.082,204.522,7.964,268.158,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,26,1,0,65,994.099,1.036.088,211.005,7.750,276.614,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,256,xdpdrv,0.0.0.255,60,1,20,1,0,64,941.053,1.034.194,210.566,7.937,276.123,25.361,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,24,1,0,64,968.299,1.022.838,208.465,8.104,272.917,20.813,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,128,xdpdrv,0.0.0.255,60,0,59,1,0,63,1.464.398,1.009.655,206.092,7.733,269.308,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,0,88,1,0,64,1.211.749,1.009.007,205.828,7.857,268.943,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,18,1,0,63,917.864,1.009.460,205.737,7.442,268.983,20.007,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,1,18,1,0,63,924.834,1.006.929,205.132,7.996,268.599,23.155,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,512,xdpdrv,0.0.0.255,60,0,58,1,0,64,1.438.574,1.012.861,206.497,7.979,270.051,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,17,1,0,63,920.273,1.004.620,204.628,7.898,267.923,9.630,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,23,1,0,63,956.253,1.003.976,204.351,8.002,267.800,19.484,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,18,1,0,64,1.117.662,1.143.463,228.691,8.518,311.426,24.511,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_400,64,xdpdrv,0.0.0.255,60,0,57,1,0,63,1.409.749,1.006.292,205.475,7.577,268.479,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,64,xdpdrv,0.0.0.255,60,1,18,1,0,64,926.459,1.006.277,204.674,7.880,268.511,21.416,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,15,1,0,64,902.322,1.006.331,204.705,7.548,268.546,3.430,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,24,1,0,63,975.522,1.021.369,207.256,7.752,272.315,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,25,1,0,65,978.141,1.015.296,206.629,8.075,270.837,19.652,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,25,1,0,65,985.415,1.035.298,210.840,7.789,276.409,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,27,1,0,65,986.634,1.015.527,207.085,7.778,271.156,19.244,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,25,1,0,64,977.011,1.014.182,206.847,8.029,270.714,20.447,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,256,xdpdrv,0.0.0.255,60,1,18,1,0,64,922.596,1.009.797,205.262,7.702,269.429,22.661,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,1024,xdpdrv,0.0.0.255,60,1,05,1,0,63,1.348.439,1.851.737,364.313,8.245,546.822,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,69,1,0,63,1.705.931,1.019.665,207.311,8.155,272.453,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,23,1,0,64,967.756,1.029.546,209.151,7.888,274.751,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,0,72,1,0,65,1.714.023,1.043.456,211.938,7.606,278.331,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,18,1,0,63,923.651,1.003.732,204.654,7.876,267.834,22.987,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1.010.066,1.034.552,210.640,7.892,276.228,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,0,65,1,0,64,1.509.646,1.005.177,204.447,7.933,267.822,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,256,xdpdrv,0.0.0.255,60,0,61,1,0,65,1.497.398,1.013.701,206.450,8.213,270.532,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,25,1,0,63,986.614,1.007.627,205.299,7.630,268.539,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,0,69,1,0,62,1.694.221,1.028.595,207.856,7.918,273.975,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,1500,xdpdrv,0.0.0.255,60,1,04,1,0,64,1.249.027,1.557.841,309.284,8.306,450.305,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,1500,xdpdrv,0.0.0.255,60,0,85,1,0,64,1.247.257,1.029.863,209.536,8.107,275.141,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,128,xdpdrv,0.0.0.255,60,1,18,1,0,65,929.191,1.025.287,208.936,7.951,273.570,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,128,xdpdrv,0.0.0.255,60,1,17,1,0,64,913.982,1.008.444,205.767,7.780,269.331,23.313,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,64,xdpdrv,0.0.0.255,60,0,58,1,0,62,1.434.731,1.002.831,203.644,7.896,267.751,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,27,1,0,64,998.189,1.022.891,207.761,7.804,273.016,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,17,1,0,64,912.559,1.023.585,208.480,7.915,273.552,21.965,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,1,20,1,0,63,936.557,1.018.445,206.473,7.861,271.709,24.667,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,128,xdpdrv,0.0.0.255,60,1,17,1,0,63,919.277,999.449,203.744,7.753,266.569,18.621,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,128,xdpdrv,0.0.0.255,60,1,15,1,0,64,906.065,1.013.636,206.416,7.980,270.286,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1.013.952,1.041.292,211.248,8.282,277.977,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,64,xdpdrv,0.0.0.255,60,1,17,1,0,64,910.263,1.037.755,211.104,7.626,276.854,22.112,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,18,1,0,63,922.444,1.012.939,206.329,7.731,270.239,27.008,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,512,xdpdrv,0.0.0.255,60,1,06,1,0,64,915.713,1.012.043,206.549,7.693,270.125,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,64,xdpdrv,0.0.0.255,60,0,59,1,0,63,1.460.241,1.017.932,206.794,7.876,271.474,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,26,1,0,64,985.113,1.020.052,207.971,7.820,272.108,21.180,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,26,1,0,64,989.236,1.033.600,210.619,7.963,275.949,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,64,xdpdrv,0.0.0.255,60,1,14,1,0,62,888.732,997.240,202.661,7.283,265.859,25.285,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,18,1,0,64,923.712,1.011.119,206.316,7.639,269.828,9.535,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,128,xdpgeneric,0.0.0.255,60,0,72,1,0,63,1.781.593,1.019.911,207.309,8.084,271.821,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,18,1,0,65,921.386,1.020.651,207.726,7.698,272.424,16.610,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
