combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,0,65,968.321,1.023.056,208.518,7.864,272.926,18.493,0,0,0,0,0,0,0
1,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,0,64,943.260,1.015.087,205.918,7.356,270.668,19.859,0,0,0,0,0,0,0
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,0,63,984.914,1.021.478,207.957,7.803,272.820,16.928,0,0,0,0,0,0,0
1,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,0,63,952.670,1.002.325,204.090,7.729,267.435,0,0,0,0,0,0,0,0
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,0,63,971.085,1.009.293,205.191,7.882,269.244,17.195,0,0,0,0,0,0,0
2,for_0_a_800,64,xdpdrv,0.0.0.255,60,1,0,65,946.422,1.019.535,207.711,7.531,271.852,0,0,0,0,0,0,0,0
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,0,63,1.011.990,1.003.304,204.232,8.078,267.409,15.310,0,0,0,0,0,0,0
8,for_0_a_1,64,xdpdrv,0.0.0.255,60,1,0,64,1.234.477,1.012.852,205.870,7.848,270.236,0,0,0,0,0,0,0,0
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,0,63,948.013,1.011.545,206.160,7.561,269.588,0,0,0,0,0,0,0,0
2,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,0,64,965.380,1.010.325,206.105,7.596,269.603,0,0,0,0,0,0,0,0
1,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,0,63,968.760,999.383,203.316,7.759,266.656,0,0,0,0,0,0,0,0
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,0,62,1.697.757,998.629,203.068,8.062,266.657,0,0,0,0,0,0,0,0
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,0,65,1.013.920,1.026.008,208.428,7.825,273.742,15.720,0,0,0,0,0,0,0
8,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,0,64,1.736.880,2.566.127,498.062,8.884,782.938,0,0,0,0,0,0,0,0
4,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,0,63,1.047.429,1.000.576,203.677,7.955,266.956,14.524,0,0,0,0,0,0,0
8,for_0_a_6400,64,xdpdrv,0.0.0.255,60,1,0,65,1.598.815,1.026.692,209.275,8.029,274.310,0,0,0,0,0,0,0,0
1,for_0_a_0,1024,xdpdrv,0.0.0.255,60,1,0,62,925.560,1.001.129,204.219,7.757,267.087,18.541,0,0,0,0,0,0,0
1,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,0,64,981.322,1.033.472,209.732,8.069,274.728,0,0,0,0,0,0,0,0
2,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,0,63,974.559,1.007.074,204.895,7.758,268.682,18.043,0,0,0,0,0,0,0
1,for_0_a_200,128,xdpdrv,0.0.0.255,60,1,0,62,930.190,1.004.372,204.621,7.715,267.899,20.078,0,0,0,0,0,0,0
8,for_0_a_0,64,xdpdrv,0.0.0.255,60,1,0,64,1.278.243,1.038.100,210.161,7.856,276.401,0,0,0,0,0,0,0,0
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,0,63,1.010.493,1.024.162,208.248,7.965,273.528,15.439,0,0,0,0,0,0,0
4,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,0,64,1.055.303,1.015.195,206.518,7.702,270.675,18.584,0,0,0,0,0,0,0
2,for_0_a_200,256,xdpdrv,0.0.0.255,60,1,0,65,977.773,1.044.397,212.139,7.608,278.802,24.059,0,0,0,0,0,0,0
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,0,63,976.032,1.014.288,205.751,7.801,270.534,18.308,0,0,0,0,0,0,0
8,for_0_a_1600,128,xdpdrv,0.0.0.255,60,1,0,64,1.571.880,1.017.216,207.333,8.203,271.641,0,0,0,0,0,0,0,0
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,0,65,1.581.352,1.629.169,317.128,8.075,465.756,46.613,0,0,0,0,0,0,0
2,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,0,64,956.677,1.002.166,204.323,7.899,267.285,20.232,0,0,0,0,0,0,0
2,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,1,0,64,968.942,1.040.486,211.865,8.083,278.252,18.532,0,0,0,0,0,0,0
8,for_0_a_3200,512,xdpdrv,0.0.0.255,60,1,0,63,1.590.953,1.017.483,207.097,7.767,271.790,0,0,0,0,0,0,0,0
1,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,0,65,934.705,1.027.352,209.214,7.320,274.155,0,0,0,0,0,0,0,0
2,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,0,64,953.376,1.009.852,206.171,7.944,269.441,20.332,0,0,0,0,0,0,0
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,0,63,948.332,1.004.219,204.301,7.902,267.864,18.564,0,0,0,0,0,0,0
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,0,63,1.519.441,1.426.326,276.939,8.343,396.572,51.120,0,0,0,0,0,0,0
4,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,0,63,972.015,1.025.120,208.616,8.211,273.588,19.238,0,0,0,0,0,0,0
8,for_0_a_400,64,xdpdrv,0.0.0.255,60,1,0,63,1.560.548,1.017.613,207.571,8.014,271.578,0,0,0,0,0,0,0,0
4,for_0_a_0,64,xdpdrv,0.0.0.255,60,1,0,65,1.013.362,1.027.749,209.391,8.093,274.696,17.985,0,0,0,0,0,0,0
4,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,0,65,956.560,1.029.840,209.689,7.656,275.230,0,0,0,0,0,0,0,0
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,0,63,1.079.527,1.013.991,206.602,8.009,270.600,0,0,0,0,0,0,0,0
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,0,65,973.835,1.031.902,209.972,7.893,275.580,0,0,0,0,0,0,0,0
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,0,65,997.831,1.034.001,209.938,7.900,276.011,0,0,0,0,0,0,0,0
2,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,0,62,996.080,1.014.855,206.118,8.102,270.532,0,0,0,0,0,0,0,0
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,0,63,1.007.800,1.027.980,209.034,8.128,274.478,16.222,0,0,0,0,0,0,0
2,for_0_a_1,64,xdpdrv,0.0.0.255,60,1,0,63,953.912,1.004.356,204.366,7.834,267.829,18.476,0,0,0,0,0,0,0
4,for_0_a_200,256,xdpdrv,0.0.0.255,60,1,0,65,1.591.863,1.021.693,207.844,7.908,272.633,0,0,0,0,0,0,0,0
8,for_0_a_200,1024,xdpdrv,0.0.0.255,60,1,0,62,1.266.791,1.553.524,307.678,8.109,450.220,0,0,0,0,0,0,0,0
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.702.326,1.044.964,212.210,7.883,279.542,0,0,0,0,0,0,0,0
