combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,cpu,usr,nice,sys,iowait,steal,irq,soft,guest,gnice,idle
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,0,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,2,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,3,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,4,0.00,0.00,0.00,0.47,0.00,0.00,6.57,0.00,0.00,92.96
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,5,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,7,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.50
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,9,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,13,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.00
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,14,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,98.99
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,0,0.00,0.00,0.00,0.00,0.00,0.00,91.75,0.00,0.00,8.25
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,0.00,7.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,12,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.50
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,99.50
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.50
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,0,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,3,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.50
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,8,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.50
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,14,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.50
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
4,for_0_a_800,512,xdpdrv,0.0.0.255,60,0,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4,for_0_a_800,512,xdpdrv,0.0.0.255,60,1,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
4,for_0_a_800,512,xdpdrv,0.0.0.255,60,2,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
