time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,16038245,16119379.48,16085902.87,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,446122,280898.88,297430.10,0.0137532656,2,0
2.000,32123571,16080125.69,16085341.20,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,747806,280112.05,299131.34,0.0137130608,2,0
3.000,48208897,16033523.93,16085881.81,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,1046390,649496.09,298975.19,0.0137360932,2,0
4.000,64298317,15990938.21,16086679.73,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,1347995,390625.00,299559.56,0.0137183937,2,0
5.000,80387737,16140987.23,16086987.89,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,1649771,390625.00,299962.54,0.0137057608,2,0
6.000,96475110,16170313.61,16087331.60,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,1951572,390625.00,300245.39,0.0136968439,2,0
7.000,112562483,16063721.26,16087329.21,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,2253458,392156.87,300464.11,0.0136897858,2,0
8.000,128649856,16257644.35,16087227.53,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,2555414,353982.30,300639.63,0.0136840619,2,0
9.000,144737229,16124458.45,16087250.05,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,2857379,396825.40,300779.21,0.0136794578,2,0
10.000,160820508,15926242.90,16086799.93,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,3159261,392156.86,300884.21,0.0136761320,2,0
11.000,176907881,16158825.39,16086964.69,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,3461473,280112.05,300999.64,0.0136720885,2,0
12.000,192993207,16097829.51,16086789.36,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,3763810,390625.00,301106.68,0.0136682163,2,0
13.000,209078533,16056161.27,16086634.43,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,4064831,76804.92,301100.22,0.0136693326,2,0
14.000,225161812,16120648.92,16086466.99,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,4368041,279329.61,301245.83,0.0136635117,2,0
15.000,241249185,16225428.03,16086542.16,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,4671293,393700.79,301375.22,0.0136583289,2,0
16.000,257338605,16095298.00,16086683.40,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,4974611,392156.86,301492.97,0.0136535829,2,0
17.000,273425978,16138442.13,16086770.53,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,5277913,280112.04,301596.35,0.0136494429,2,0
18.000,289513351,16146079.82,16086737.30,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,5581084,392209.90,301681.49,0.0136460404,2,0
19.000,305596630,15984694.68,16086521.98,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,5884234,389105.06,301756.76,0.0136430493,2,0
20.000,321681956,16177981.50,16086455.66,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,6187535,151285.93,301832.06,0.0136400393,2,0
21.000,337765235,16114303.71,16086308.79,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,6490751,72674.42,301896.39,0.0136374635,2,0
22.000,353844420,16142260.07,16086044.50,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,6793855,72886.30,301950.07,0.0136353519,2,0
23.000,369933840,16220285.26,16086155.14,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,7095354,280898.88,301930.96,0.0136364341,2,0
24.000,386021213,16094032.55,16086227.33,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,7396510,216450.22,301899.29,0.0136381094,2,0
25.000,402110633,16129540.62,16086310.16,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,7697459,217391.31,301862.03,0.0136400001,2,0
26.000,418193912,16171591.09,16086204.16,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,7998786,657894.73,301841.87,0.0136410930,2,0
27.000,434279238,16070026.69,16086179.06,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,8300367,151057.40,301832.36,0.0136417232,2,0
28.000,450368658,16057420.78,16086289.29,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,8601963,218340.61,301824.06,0.0136422881,2,0
29.000,466449890,16225428.03,16086105.46,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,8903007,178571.43,301797.65,0.0136436266,2,0
30.000,482533169,16005942.60,16086076.23,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,9204367,150602.41,301783.29,0.0136444299,2,0
31.000,498620542,16020975.19,16086081.10,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,9505851,390625.00,301773.79,0.0136450105,2,0
32.000,514707915,16174146.65,16086099.63,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,9807130,281690.14,301758.55,0.0136458139,2,0
33.000,530793241,16101628.25,16086079.24,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,10108585,396825.40,301749.51,0.0136463391,2,0
34.000,546872426,16070026.69,16085907.09,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,10408273,662402.93,301689.75,0.0136491201,2,0
35.000,562959799,16037292.39,16085943.59,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,10709561,283286.12,301678.41,0.0136497450,2,0
36.000,579045125,16003439.92,16085949.96,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,11011280,218357.05,301679.53,0.0136497929,2,0
