combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
4,for_0_a_0,64,xdpdrv,0.0.0.255,60,763322694,12598425.21,12828987.9,0.0005697829
2,for_0_a_0,64,xdpdrv,0.0.0.255,60,741680971,13141683.78,12465284.77,0.0007705773
2,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71347780,636942.68,1199123.79,0.0006682287
1,for_0_a_0,64,xdpgeneric,0.0.0.255,60,63707776.0,549450.55,1070720.56,-116.3645706728
4,for_0_a_0,512,xdpgeneric,0.0.0.255,60,140022460,2339181.22,2353322.3,-17.6479137579
4,for_0_a_0,512,xdpdrv,0.0.0.255,60,140046119,2395209.64,2353719.3,0.0004412745
8,for_0_a_0,256,xdpdrv,0.0.0.255,60,269949537,10126582.99,4536972.6,0.000971059
4,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,49006406,1257861.63,823638.23,0.0007753748
1,for_0_a_0,256,xdpdrv,0.0.0.255,60,269953621,7826087.32,4537054.92,0.0007030694
8,for_0_a_0,128,xdpgeneric,0.0.0.255,60,308857071,12195122.08,5190883.08,-7.994670134
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71346814,645161.28,1199107.74,0.0010564629
2,for_0_a_0,1500,xdpdrv,0.0.0.255,60,49006468,543478.25,823639.19,0.0007646146
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,49005992,645161.3,823631.18,0.0010367787
1,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71354237,641025.65,1199232.46,0.0015973475
4,for_0_a_0,128,xdpgeneric,0.0.0.255,60,184343992,1242236.05,3098222.28,-13.3999377472
4,for_0_a_0,128,xdpdrv,0.0.0.255,60,503437259,12903225.03,8461141.65,0.000297107
8,for_0_a_0,64,xdpdrv,0.0.0.255,60,742741347,12213740.57,12483062.82,0.0006083716
4,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71347828,3389830.43,1199129.1,0.0006236959
2,for_0_a_0,128,xdpgeneric,0.0.0.255,60,99218596,624999.99,1667541.5,-24.9015238832
8,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71356424,1156299.82,1199269.26,0.0009444979
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,62787742.0,649350.64,1055257.53,-39.3538850816
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,61066011,1433691.76,1026320.79,-40.4633158719
1,for_0_a_0,512,xdpdrv,0.0.0.255,60,140045414,1234830.79,2353707.57,0.0007144574
