time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,8642434,8663816.82,8706687.61,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,3512739,5000000.77,2341979.68,0.0005719869,2,0
2.000,17327855,8560913.39,8696807.91,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,5866786,1219768.70,2346805.97,0.0005689374,2,0
3.000,26000994,8696575.75,8688777.99,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,8220832,1853035.18,2348875.11,0.0005659478,2,0
4.000,34665945,8684400.32,8682560.45,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,10574878,6250000.59,2350024.29,0.0005629248,2,0
5.000,43326802,8666017.53,8678446.53,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,12928920,4920814.12,2350754.88,0.0005598434,2,0
6.000,51987659,8728838.85,8675275.25,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,15282970,757575.74,2351261.01,0.0005567519,2,0
7.000,60642375,8696945.23,8672520.04,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,17637016,1796407.23,2351632.64,0.0005536494,2,0
8.000,69299138,8663816.82,8670397.42,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,19991061,1851851.94,2351916.45,0.0005505240,2,0
9.000,77953854,8667852.30,8668716.40,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,22345106,1234830.79,2352140.58,0.0005473924,2,0
10.000,86606523,8650270.45,8667100.34,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,24699151,3225806.85,2352322.12,0.0005442677,2,0
11.000,95259192,8680717.53,8665712.47,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,27053195,5172413.75,2352471.93,0.0005411272,2,0
12.000,103909814,8606264.45,8664529.88,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,29407241,1941747.53,2352597.73,0.0005379773,2,0
13.000,112560436,8661983.75,8663495.62,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,31761288,1273885.35,2352705.08,0.0005348284,2,0
14.000,121213105,8616770.50,8662661.13,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,34115334,4687499.61,2352797.61,0.0005316717,2,0
15.000,129861680,8687348.81,8661799.39,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,36469380,4918033.47,2352878.12,0.0005285314,2,0
16.000,138512302,8622577.93,8661042.84,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,38823424,1886792.17,2352948.83,0.0005253807,2,0
17.000,147162924,8670055.06,8660462.34,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,41177472,1818181.88,2353011.65,0.0005222143,2,0
18.000,155813546,8644425.67,8659912.21,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,43531518,3124999.74,2353067.50,0.0005190459,2,0
19.000,164464168,8680349.42,8659397.98,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,45885565,7142856.12,2353117.74,0.0005158812,2,0
20.000,173112743,8641871.07,8658915.38,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,48239610,4225352.14,2353162.99,0.0005127121,2,0
21.000,181763365,8661617.23,8658475.09,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,50593660,2430555.55,2353204.05,0.0005095524,2,0
22.000,190411940,8661617.23,8658032.78,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,52947700,523560.20,2353241.38,0.0005063934,2,0
23.000,199060515,8619310.29,8657608.31,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,55301752,1845018.46,2353275.69,0.0005032239,2,0
24.000,207709090,8664929.68,8657269.29,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,57655793,641025.60,2353307.02,0.0005000589,2,0
25.000,216359712,8708414.87,8656959.90,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,60009841,2659574.61,2353336.09,0.0004969060,2,0
26.000,225008287,8634580.50,8656683.52,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,62363881,4111531.04,2353362.75,0.0004937692,2,0
27.000,233656862,8600491.43,8656378.10,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,64717929,4046242.76,2353387.68,0.0004906469,2,0
28.000,242305437,8599046.27,8656104.49,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,67071973,1838235.30,2353410.70,0.0004875275,2,0
29.000,250956059,8700272.02,8655907.10,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,69425934,1818181.75,2353429.28,0.0004853507,2,0
30.000,259608728,8729955.65,8655746.52,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,71779980,1086956.51,2353449.45,0.0004834225,2,0
31.000,268257303,8649539.43,8655563.74,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,74134025,2702702.63,2353468.45,0.0004821184,2,0
32.000,276907925,8568080.03,8655357.15,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,76488069,1058201.05,2353486.15,0.0004800265,2,0
33.000,285556500,8635309.01,8655161.87,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,78842120,6451612.52,2353503.02,0.0004778756,2,0
34.000,294205075,8578133.51,8654981.45,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,81196162,1714285.69,2353518.66,0.0004756696,2,0
35.000,302853650,8710267.65,8654795.65,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,83550211,1257861.63,2353533.54,0.0004734153,2,0
36.000,311502225,8713233.73,8654647.80,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,85904254,1242236.00,2353547.56,0.0004711124,2,0
37.000,320150800,8697684.30,8654462.75,0,0.00,0.00,0.00,1,0
37.500,0,0.00,0.00,88258170,3448275.83,2353557.38,0.0004699152,2,0
38.000,328799375,8682558.53,8654306.03,0,0.00,0.00,0.00,1,0
38.500,0,0.00,0.00,90612218,1234567.87,2353570.11,0.0004689151,2,0
39.000,337445903,8718429.23,8654133.54,0,0.00,0.00,0.00,1,0
39.500,0,0.00,0.00,92966267,2234636.94,2353582.18,0.0004678050,2,0
40.000,346094478,8684400.32,8653981.69,0,0.00,0.00,0.00,1,0
40.500,0,0.00,0.00,95320311,1242236.00,2353593.59,0.0004665901,2,0
41.000,354743053,8605179.08,8653846.74,0,0.00,0.00,0.00,1,0
41.500,0,0.00,0.00,97674357,602409.66,2353604.49,0.0004652775,2,0
42.000,363391628,8657234.03,8653695.84,0,0.00,0.00,0.00,1,0
42.500,0,0.00,0.00,100028402,1754385.97,2353614.87,0.0004638793,2,0
43.000,372036109,8619673.24,8653524.17,0,0.00,0.00,0.00,1,0
43.500,0,0.00,0.00,102382448,2941176.50,2353624.81,0.0004624011,2,0
44.000,380684684,8613869.72,8653395.97,0,0.00,0.00,0.00,1,0
44.500,0,0.00,0.00,104736432,2395209.64,2353632.91,0.0004611206,2,0
