combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,0,64,1.000.353,1.030.340,210.003,8.101,275.014,27.677,0,0,0,0,0,0,0
1,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,0,64,995.337,1.012.863,205.918,8.277,270.150,7.412,0,0,0,0,0,0,0
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,0,64,999.119,1.028.186,209.240,7.808,274.514,20.585,0,0,0,0,0,0,0
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,0,64,996.183,1.002.288,204.180,7.973,267.318,20.012,0,0,0,0,0,0,0
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,0,62,1.905.657,1.789.011,336.788,8.238,509.033,46.361,0,0,0,0,0,0,0
2,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.010.892,1.010.775,205.661,8.060,269.871,20.341,0,0,0,0,0,0,0
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.769.939,1.027.774,209.317,8.005,274.741,0,0,0,0,0,0,0,0
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,0,64,993.077,1.017.265,207.013,7.910,271.123,12.500,0,0,0,0,0,0,0
4,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,0,62,1.021.440,1.003.014,204.421,7.878,267.471,25.075,0,0,0,0,0,0,0
1,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,0,64,993.376,1.018.877,207.465,7.801,271.576,23.940,0,0,0,0,0,0,0
2,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,0,63,1.007.378,1.031.794,209.461,7.758,275.446,20.526,0,0,0,0,0,0,0
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.119.026,1.153.388,230.525,8.208,313.256,28.499,0,0,0,0,0,0,0
4,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,0,64,1.663.075,1.402.274,274.987,8.328,387.608,14.701,0,0,0,0,0,0,0
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,0,65,1.007.147,1.032.959,210.050,7.826,275.890,21.488,0,0,0,0,0,0,0
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.526.920,1.013.154,206.486,8.129,270.108,0,0,0,0,0,0,0,0
1,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,0,64,996.375,1.016.690,207.650,8.171,271.336,22.282,0,0,0,0,0,0,0
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,0,63,1.001.461,1.021.720,207.202,8.052,271.557,23.302,0,0,0,0,0,0,0
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.501.070,1.006.054,204.595,7.537,268.464,0,0,0,0,0,0,0,0
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,0,65,1.444.351,1.037.920,211.316,7.520,276.975,0,0,0,0,0,0,0,0
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.272.491,1.117.566,225.220,7.911,301.318,0,0,0,0,0,0,0,0
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,0,64,1.893.257,1.476.221,288.986,8.914,408.440,30.753,0,0,0,0,0,0,0
2,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,0,63,967.175,1.012.688,206.351,7.432,270.024,21.140,0,0,0,0,0,0,0
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,0,65,1.013.245,1.030.902,209.699,7.979,275.279,20.666,0,0,0,0,0,0,0
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,1,64,2.241.733,1.190.329,236.710,8.214,324.507,0,0,0,0,0,0,0,0
1,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,0,63,978.468,1.008.255,205.176,7.885,268.892,23.578,0,0,0,0,0,0,0
2,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,0,64,1.002.965,1.026.927,208.337,8.038,273.843,19.597,0,0,0,0,0,0,0
8,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,0,63,3.775.808,2.668.705,507.931,10.559,728.808,66.074,0,0,0,0,0,0,0
4,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,0,63,993.237,1.000.603,203.874,7.489,267.022,18.833,0,0,0,0,0,0,0
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.517.418,1.038.198,211.429,7.813,277.181,0,0,0,0,0,0,0,0
4,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,0,64,1.485.332,1.222.707,243.725,8.315,332.137,0,0,0,0,0,0,0,0
8,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,0,64,1.740.239,1.006.429,204.950,8.032,268.580,0,0,0,0,0,0,0,0
1,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,0,64,1.046.141,1.034.459,210.319,8.393,276.246,20.795,0,0,0,0,0,0,0
2,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,0,64,983.041,1.007.841,205.121,7.952,269.007,20.174,0,0,0,0,0,0,0
4,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,0,63,1.004.328,1.004.913,204.471,7.830,267.999,21.229,0,0,0,0,0,0,0
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,0,64,1.234.978,1.022.663,207.509,7.976,273.010,6.279,0,0,0,0,0,0,0
4,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,0,65,2.234.454,1.893.659,358.135,8.971,539.500,0,0,0,0,0,0,0,0
8,for_0_a_800,128,xdpgeneric,0.0.0.255,60,1,0,63,1.868.694,1.021.518,207.978,8.139,272.516,0,0,0,0,0,0,0,0
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,0,64,999.298,1.036.433,210.934,8.096,276.773,22.437,0,0,0,0,0,0,0
2,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,0,63,1.000.941,1.007.983,204.822,7.850,269.106,19.853,0,0,0,0,0,0,0
4,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.025.708,1.027.209,208.709,7.866,273.808,20.168,0,0,0,0,0,0,0
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,0,63,997.651,1.012.098,206.057,7.815,269.759,20.016,0,0,0,0,0,0,0
2,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,1,63,998.224,1.014.332,206.580,7.792,270.333,0,0,0,0,0,0,0,0
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,0,64,1.806.887,1.012.863,206.496,7.934,270.685,0,0,0,0,0,0,0,0
2,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,0,63,1.000.297,1.014.459,205.956,8.065,270.629,10.437,0,0,0,0,0,0,0
8,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,0,65,3.294.608,3.073.082,556.129,8.877,905.410,71.189,0,0,0,0,0,0,0
1,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,0,63,988.652,1.033.401,210.252,7.905,275.737,22.866,0,0,0,0,0,0,0
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,0,63,1.138.799,1.008.298,205.283,7.585,268.968,0,0,0,0,0,0,0,0
8,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,0,63,1.766.890,1.007.287,205.292,8.130,269.252,0,0,0,0,0,0,0,0
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,0,63,1.799.763,1.002.270,203.655,8.252,267.472,0,0,0,0,0,0,0,0
1,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,0,64,983.503,1.012.653,206.402,8.081,270.103,0,0,0,0,0,0,0,0
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,0,63,1.822.801,1.004.982,204.998,8.027,268.027,0,0,0,0,0,0,0,0
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,0,64,988.606,1.035.321,210.787,7.972,276.357,0,0,0,0,0,0,0,0
4,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,0,64,2.053.860,1.624.217,313.995,8.667,454.360,34.137,0,0,0,0,0,0,0
8,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,0,64,2.847.814,2.211.461,417.662,10.414,615.596,53.735,0,0,0,0,0,0,0
2,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,0,62,960.662,998.197,203.045,7.659,266.375,21.068,0,0,0,0,0,0,0
8,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,0,65,1.862.438,1.016.767,206.837,7.944,271.881,0,0,0,0,0,0,0,0
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,0,63,1.000.575,1.023.118,207.590,7.972,272.018,27.259,0,0,0,0,0,0,0
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,0,64,1.028.099,1.025.183,208.484,7.282,273.636,25.049,0,0,0,0,0,0,0
8,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,0,63,1.518.103,1.013.689,206.470,8.224,270.258,0,0,0,0,0,0,0,0
4,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,0,62,994.974,997.758,203.469,7.329,266.200,19.637,0,0,0,0,0,0,0
2,for_0_a_800,128,xdpgeneric,0.0.0.255,60,1,0,63,979.822,1.000.457,203.766,7.663,267.074,20.510,0,0,0,0,0,0,0
