combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
1,for_0_a_0,64,xdpgeneric,0.0.0.255,60,54039239,59171.6,908226.14,-137.18
4,for_0_a_0,512,xdpgeneric,0.0.0.255,60,34909142,18796.99,586708.71,0.0
4,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,12176443,271002.71,204647.24,0.0
8,for_0_a_0,128,xdpgeneric,0.0.0.255,60,38724411,760456.26,650831.2,-63.81
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,35729564,366300.37,600497.67,0.0
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,6250084,13054.83,105043.45,0.0
4,for_0_a_0,128,xdpgeneric,0.0.0.255,60,43260144,59665.87,727062.08,-57.12
4,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,17584199,19735.54,295533.76,0.0
2,for_0_a_0,128,xdpgeneric,0.0.0.255,60,47173962,1067615.65,792843.01,-52.38
8,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,9082085,17699.12,152640.16,0.0
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,50128131,53219.8,842490.46,-49.29
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,47849745,628930.81,804198.38,0.01
1,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,42617303,386151.79,716258.06,0.01
4,for_0_a_0,256,xdpgeneric,0.0.0.255,60,38820685,1853035.18,652449.3,0.01
2,for_0_a_0,256,xdpgeneric,0.0.0.255,60,43514286,45808.52,731333.34,0.01
1,for_0_a_0,256,xdpgeneric,0.0.0.255,60,48934785,59241.71,822434.24,0.01
4,for_0_a_0,64,xdpgeneric,0.0.0.255,60,45742596,59559.26,768786.29,-162.07
1,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,44527012,1851851.94,748356.5,0.01
2,for_0_a_0,64,xdpgeneric,0.0.0.255,60,47577716,53276.51,799626.44,-155.82
8,for_0_a_0,256,xdpgeneric,0.0.0.255,60,34402843,380228.14,578200.22,0.0
8,for_0_a_0,64,xdpgeneric,0.0.0.255,60,42284190,595360.3,710661.12,-175.32
8,for_0_a_0,512,xdpgeneric,0.0.0.255,60,17841344,1242236.0,299854.88,0.0
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,24528938,29420.72,412251.34,0.0
2,for_0_a_0,512,xdpgeneric,0.0.0.255,60,41480254,53276.51,697147.81,0.01
8,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,4244077,0.0,71329.11,0.04
1,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,4282794,0.0,71979.7,-576.97
2,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,4174922,0.0,70166.81,-591.88
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,4201038,0.0,70605.69,-588.2
8,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,2951926,134498.99,49612.25,-837.09
1,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,4148557,0.0,69723.68,0.04
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,4164715,0.0,69995.2,0.04
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,4247213,0.0,71381.76,-581.81
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,4195425,1657458.58,70511.56,-1178.02
4,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,4145069,0.0,69665.06,0.04
4,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,4247680,0.0,71389.87,0.04
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,2194750,0.0,36886.54,-1125.91
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1888090,0.0,31732.62,0.09
4,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,2186513,0.0,36748.2,0.08
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1616864,0.0,27174.25,0.1
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1631543,0.0,27420.91,0.1
4,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,2188586,0.0,36782.97,0.07
1,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,2218300,0.0,37282.37,-1113.92
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,2220044,0.0,37311.73,-1113.06
4,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,2195910,0.0,36906.03,0.08
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1641121,0.0,27581.89,0.1
1,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,2183629,0.0,36699.66,0.08
