combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,25,1,0,63,988299,1009734,205618,7461,269972,15228,0,0,0,0,0,0
1,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,24,1,0,63,983137,1009969,205985,7665,269620,14580,0,0,0,0,0,0
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,29,1,0,62,1020977,1004937,204316,7724,268071,14966,0,0,0,0,0,0
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,26,1,0,63,999467,1005802,204881,7571,268499,14664,0,0,0,0,0,0
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,32,1,0,64,1039032,1027568,209008,7852,274415,16131,0,0,0,0,0,0
2,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1026808,1019429,207318,7794,271802,15530,0,0,0,0,0,0
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,20,1,1,64,1671307,1489249,287832,8268,417137,28840,0,0,0,0,0,0
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,11,1,0,65,1437642,1471090,286366,8512,404258,24875,0,0,0,0,0,0
4,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,27,1,0,63,2325867,1853784,354445,9737,522585,33165,0,0,0,0,0,0
1,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,29,1,0,65,1017085,1038306,211076,8104,277554,16477,0,0,0,0,0,0
2,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,27,1,0,63,1008789,1008685,205319,7933,268951,14428,0,0,0,0,0,0
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,26,1,0,63,1000599,1006188,204834,7393,268618,14282,0,0,0,0,0,0
4,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,33,1,0,63,1047712,1010518,204728,7838,269599,15400,0,0,0,0,0,0
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,24,1,0,63,975007,1005920,204903,7316,268541,15358,0,0,0,0,0,0
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,50,1,0,64,2929982,2420598,459355,10314,666111,57225,0,0,0,0,0,0
1,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,24,1,0,64,982839,1013871,206555,7303,270373,15124,0,0,0,0,0,0
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,25,1,0,62,985106,991590,201950,7698,264397,15426,0,0,0,0,0,0
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,0,75,1,0,62,1553094,993001,201989,8039,264866,0,0,0,0,0,0,0
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,32,1,0,64,1044856,1017612,206452,7850,271557,14643,0,0,0,0,0,0
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,19,1,0,64,1423598,1239473,246334,8599,338564,19196,0,0,0,0,0,0
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,32,1,0,64,1048338,1015266,206745,7462,270944,15692,0,0,0,0,0,0
2,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,26,1,0,64,998079,1016979,206956,7863,271370,14879,0,0,0,0,0,0
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,15,1,0,63,903113,1015694,206690,7349,270694,0,0,0,0,0,0,0
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,75,1,0,65,1852380,1042444,212094,8043,278759,0,0,0,0,0,0,0
1,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,28,1,0,65,1009909,1037562,211209,8075,276883,16756,0,0,0,0,0,0
2,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,30,1,0,64,1029814,1013293,205767,8261,270217,16034,0,0,0,0,0,0
8,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,24,1,0,63,1730604,1487998,287825,8549,415948,35471,0,0,0,0,0,0
4,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,33,1,0,64,1052600,1018739,207995,7814,271903,15703,0,0,0,0,0,0
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,0,77,1,0,64,1594802,1017579,207502,7727,271577,0,0,0,0,0,0,0
