time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,3572015,3651575.15,3637798.07,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,149654,0.00,99773.19,0.0007764838,2,0
2.000,7207487,3625704.06,3636231.10,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,250357,0.00,100143.24,0.0007930995,2,0
3.000,10838865,3645722.02,3634737.40,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,351785,0.00,100510.68,0.0008263357,2,0
4.000,14470243,3616288.31,3633649.32,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,452443,0.00,100543.61,0.0008441668,2,0
5.000,18099574,3625447.20,3632844.62,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,553779,278551.53,100688.43,0.0008557686,2,0
6.001,21728905,3621278.33,3632113.38,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,654951,40161.20,100762.48,0.0008569138,2,0
7.000,25356189,3632459.67,3631574.35,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,756333,0.00,100844.70,0.0008591493,2,0
8.000,28983473,3624676.84,3631101.79,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,857434,23212.63,100875.40,0.0008608172,2,0
9.000,32610757,3627310.26,3630694.86,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,958357,0.00,100880.18,0.0008615460,2,0
10.000,36238041,3625832.51,3630323.09,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,1059396,645304.85,100895.55,0.0008566118,2,0
11.001,39867372,3613543.29,3630103.22,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,1160434,10560.78,100907.74,0.0008500796,2,0
12.000,43494656,3628917.88,3629888.03,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,1261079,384615.38,100886.91,0.0008458851,2,0
13.000,47119893,3636977.42,3629650.56,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,1362008,0.00,100889.43,0.0008423278,2,0
14.000,50747177,3609783.62,3629442.25,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,1463133,11279.04,100905.82,0.0008372100,2,0
15.000,54374461,3634910.77,3629272.06,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,1564141,0.00,100912.71,0.0008338663,2,0
16.000,58001745,3630913.32,3629125.29,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,1665163,641025.62,100919.42,0.0008383816,2,0
17.000,61626982,3622111.34,3628955.01,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,1766078,0.00,100918.88,0.0008423875,2,0
18.000,65254266,3627888.84,3628811.97,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,1867132,0.00,100926.04,0.0008459316,2,0
19.000,68879503,3637300.54,3628671.29,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,1968137,0.00,100930.42,0.0008490475,2,0
20.000,72506787,3621342.39,3628547.37,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,2069331,1257861.63,100943.33,0.0008519758,2,0
21.000,76132024,3628210.35,3628436.50,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,2169937,0.00,100927.64,0.0008545399,2,0
22.000,79757261,3616543.88,3628312.40,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,2271411,15549.68,100951.86,0.0008569814,2,0
23.000,83384545,3623265.36,3628215.76,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,2371984,20341.74,100935.69,0.0008577041,2,0
24.000,87009782,3637106.66,3628108.44,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,2473442,0.00,100957.00,0.0008597508,2,0
25.000,90635019,3630269.39,3627990.33,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,2574450,0.00,100958.80,0.0008616454,2,0
26.000,94260256,3638917.04,3627884.15,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,2675589,19948.13,100965.88,0.0008608329,2,0
27.000,97885493,3625254.58,3627812.16,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,2776538,33467.20,100965.26,0.0008581891,2,0
28.000,101510730,3617374.71,3627727.36,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,2877121,28595.94,100951.80,0.0008557736,2,0
29.001,105138014,3618909.55,3627645.64,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,2978579,35868.01,100968.94,0.0008535241,2,0
30.001,108763251,3633039.90,3627567.51,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,3079502,0.00,100967.30,0.0008514085,2,0
31.001,112388488,3625960.96,3627494.92,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,3180545,12740.48,100969.84,0.0008499451,2,0
32.000,116011678,3625768.28,3627405.18,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,3281635,10234.37,100973.35,0.0008501228,2,0
33.000,119636915,3623265.36,3627326.44,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,3382427,16315.88,100968.13,0.0008482941,2,0
34.000,123262152,3644164.35,3627251.85,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,3483351,0.00,100966.89,0.0008482105,2,0
35.000,126885342,3636072.97,3627157.87,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,3584593,13781.70,100974.53,0.0008499165,2,0
36.001,130510579,3603429.15,3627069.01,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,3685996,0.00,100986.15,0.0008514927,2,0
37.000,134133769,3612522.94,3626998.59,0,0.00,0.00,0.00,1,0
37.500,0,0.00,0.00,3787383,0.00,100996.92,0.0008530355,2,0
38.001,137759006,3630913.32,3626917.35,0,0.00,0.00,0.00,1,0
38.500,0,0.00,0.00,3888752,32133.68,101006.69,0.0008544355,2,0
39.000,141382196,3627888.84,3626858.25,0,0.00,0.00,0.00,1,0
39.500,0,0.00,0.00,3990182,55540.13,101017.41,0.0008527880,2,0
40.000,145007433,3611566.89,3626808.85,0,0.00,0.00,0.00,1,0
